,Image,Condition,Human,CLIP
0,1,Concrete,0.8496551724137931,0.2783203125
1,2,Concrete,0.7931034482758623,0.33984375
2,3,Concrete,0.8620689655172417,0.3173828125
3,4,Concrete,0.863793103448276,0.309814453125
4,5,Concrete,0.9010344827586205,0.29443359375
5,6,Concrete,0.8206896551724135,0.3115234375
6,7,Concrete,0.873793103448276,0.294921875
7,8,Concrete,0.903448275862069,0.331298828125
8,9,Concrete,0.766551724137931,0.397216796875
9,10,Concrete,0.8493103448275862,0.330078125
10,11,Concrete,0.9348275862068965,0.29833984375
11,12,Concrete,0.7534482758620691,0.318359375
12,13,Concrete,0.9617241379310346,0.356689453125
13,14,Concrete,0.7579310344827583,0.34521484375
14,15,Concrete,0.859655172413793,0.3427734375
15,16,Concrete,0.8927586206896553,0.294921875
16,17,Concrete,0.8586206896551726,0.238525390625
17,18,Concrete,0.8124137931034483,0.317626953125
18,19,Concrete,0.8779310344827587,0.305908203125
19,20,Concrete,0.9317241379310346,0.33447265625
20,21,Concrete,0.802758620689655,0.3251953125
21,22,Concrete,0.8441379310344828,0.275146484375
22,23,Concrete,0.9103448275862069,0.29248046875
23,24,Concrete,0.9362068965517242,0.33642578125
24,25,Concrete,0.8479310344827586,0.263916015625
25,26,Concrete,0.8196551724137929,0.269775390625
26,27,Concrete,0.9,0.286376953125
27,28,Concrete,0.9210344827586205,0.308837890625
28,29,Concrete,0.9479310344827587,0.369140625
29,30,Concrete,0.9065517241379312,0.290283203125
30,31,Concrete,0.8303448275862071,0.36572265625
31,32,Concrete,0.7093103448275861,0.259033203125
32,33,Concrete,0.9317241379310344,0.335205078125
33,34,Concrete,0.8972413793103449,0.277587890625
34,35,Concrete,0.9282758620689656,0.3154296875
35,36,Concrete,0.8848275862068966,0.295654296875
36,37,Concrete,0.953793103448276,0.30224609375
37,38,Concrete,0.8972413793103449,0.3115234375
38,39,Concrete,0.7965517241379311,0.286865234375
39,40,Concrete,0.8927586206896553,0.322509765625
40,41,Concrete,0.9813793103448277,0.313232421875
41,42,Concrete,0.8772413793103448,0.2286376953125
42,43,Concrete,0.7958620689655173,0.283935546875
43,44,Concrete,0.9486206896551723,0.323486328125
44,45,Concrete,0.9055172413793106,0.2978515625
45,46,Concrete,0.8679310344827585,0.32421875
46,47,Concrete,0.886551724137931,0.26171875
47,48,Concrete,0.9234482758620689,0.325439453125
48,49,Concrete,0.7693103448275862,0.297607421875
49,50,Concrete,0.7331034482758623,0.27490234375
50,51,Concrete,0.9500000000000002,0.323486328125
51,52,Concrete,0.6344827586206896,0.288330078125
52,53,Concrete,0.7358620689655171,0.340087890625
53,54,Concrete,0.616551724137931,0.302001953125
54,55,Concrete,0.8196551724137933,0.34326171875
55,56,Concrete,0.9548275862068965,0.348388671875
56,57,Concrete,0.5662068965517242,0.261474609375
57,58,Concrete,0.7517241379310345,0.2169189453125
58,59,Concrete,0.8382758620689654,0.256103515625
59,60,Concrete,0.9720689655172413,0.334716796875
60,61,Concrete,0.9020689655172414,0.29931640625
61,62,Concrete,0.7851724137931034,0.267822265625
62,63,Concrete,0.9103448275862068,0.3193359375
63,64,Concrete,0.9465517241379309,0.322021484375
64,65,Concrete,0.6293103448275861,0.2169189453125
65,66,Concrete,0.9279310344827585,0.289306640625
66,67,Concrete,0.8793103448275862,0.342041015625
67,68,Concrete,0.8510344827586207,0.309814453125
68,69,Concrete,0.9727586206896552,0.351806640625
69,70,Concrete,0.9203448275862066,0.311279296875
70,71,Concrete,0.9210344827586204,0.345458984375
71,72,Concrete,0.8344827586206895,0.293212890625
72,73,Concrete,0.9065517241379311,0.324951171875
73,74,Concrete,0.8303448275862069,0.3251953125
74,75,Concrete,0.8206896551724138,0.318359375
