,Image,Condition,Human,CLIP
0,1,Concrete,0.8328550210354028,0.4500282326369283
1,2,Concrete,0.7594554363080546,0.7346132128740824
2,3,Concrete,0.8431386756639118,0.6307171089779785
3,4,Concrete,0.8436826164263478,0.5957086391869001
4,5,Concrete,0.888848892255575,0.5245623941276115
5,6,Concrete,0.7896714203040951,0.603613777526821
6,7,Concrete,0.8573501485742099,0.5268210050818747
7,8,Concrete,0.8930977231063352,0.6950875211744777
8,9,Concrete,0.7358623754818102,1.0
9,10,Concrete,0.8280931669234355,0.6894409937888198
10,11,Concrete,0.9279895358611354,0.5426312817617166
11,12,Concrete,0.7234742215101047,0.6352343308865048
12,13,Concrete,0.9591676915395461,0.8125352907961604
13,14,Concrete,0.716669222114614,0.7594579333709769
14,15,Concrete,0.8334088238134576,0.7481648785996612
15,16,Concrete,0.8781565566117672,0.5268210050818747
16,17,Concrete,0.8427244744429645,0.26595143986448333
17,18,Concrete,0.801283256502016,0.6318464144551101
18,19,Concrete,0.858829235660121,0.577639751552795
19,20,Concrete,0.9204632450916558,0.709768492377188
20,21,Concrete,0.7706767875842834,0.6668548842461886
21,22,Concrete,0.8160947726958905,0.435347261434218
22,23,Concrete,0.9003547287963621,0.515527950310559
23,24,Concrete,0.9228317488568728,0.7188029361942405
24,25,Concrete,0.827388357666698,0.383399209486166
25,26,Concrete,0.802168320023699,0.4105025409373235
26,27,Concrete,0.880045023235515,0.4872953133822699
27,28,Concrete,0.9063421453244969,0.5911914172783738
28,29,Concrete,0.9398854615899874,0.8701298701298701
29,30,Concrete,0.8947935752731493,0.5053642010163749
30,31,Concrete,0.8131172306893335,0.8543195934500283
31,32,Concrete,0.6764425248862194,0.3608130999435347
32,33,Concrete,0.9194927647754353,0.7131564088085828
33,34,Concrete,0.8831700258588387,0.44664031620553357
34,35,Concrete,0.923181257153467,0.6216826651609261
35,36,Concrete,0.8672328698487878,0.5302089215132694
36,37,Concrete,0.9457201389377675,0.5607001693958216
37,38,Concrete,0.8804043394961434,0.603613777526821
38,39,Concrete,0.7723297729223849,0.48955392433653305
39,40,Concrete,0.8788534198882504,0.6544325239977414
40,41,Concrete,0.9788313375403168,0.611518915866742
41,42,Concrete,0.8614619661774817,0.220214568040655
42,43,Concrete,0.7703385492831969,0.47600225861095424
43,44,Concrete,0.9448248727086141,0.6589497459062676
44,45,Concrete,0.8912469218011092,0.5403726708074534
45,46,Concrete,0.8568338205331498,0.6623376623376623
46,47,Concrete,0.8798804582613492,0.37323546019198195
47,48,Concrete,0.9054507252811157,0.6679841897233202
48,49,Concrete,0.7379133613630322,0.5392433653303218
49,50,Concrete,0.6978291312783076,0.4342179559570864
50,51,Concrete,0.9453383410579815,0.6589497459062676
51,52,Concrete,0.5773325291025257,0.49632975719932243
52,53,Concrete,0.7060861036619767,0.735742518351214
53,54,Concrete,0.5678573470221856,0.55957086391869
54,55,Concrete,0.7881290792607792,0.7504234895539243
55,56,Concrete,0.9464453864551807,0.7741389045736872
56,57,Concrete,0.5052261309746298,0.37210615471485037
57,58,Concrete,0.7304538135535614,0.16600790513833993
58,59,Concrete,0.8215574133810327,0.34726143421795597
59,60,Concrete,0.9674089691315069,0.7108977978543196
60,61,Concrete,0.8930648337847422,0.5471485036702428
61,62,Concrete,0.7647814060772189,0.40146809712027104
62,63,Concrete,0.8953150450867355,0.639751552795031
63,64,Concrete,0.9402964668415962,0.6521739130434783
64,65,Concrete,0.580509639339808,0.16600790513833993
65,66,Concrete,0.9152132270410503,0.5008469791078487
66,67,Concrete,0.8657936984418266,0.7447769621682665
67,68,Concrete,0.838178679947467,0.5957086391869001
68,69,Concrete,0.9708772043534798,0.7899491812535291
69,70,Concrete,0.9101674063492583,0.6024844720496895
