,Image,Condition,Human,CLIP
0,1,Concrete,0.8390000303743549,0.4500282326369283
1,2,Concrete,0.8066916564193636,0.7346132128740824
2,3,Concrete,0.8688310686799976,0.6307171089779785
3,4,Concrete,0.8609541681248897,0.5957086391869001
4,5,Concrete,0.8786699123306091,0.5245623941276115
5,6,Concrete,0.801838333308364,0.603613777526821
6,7,Concrete,0.8434607427152735,0.5268210050818747
7,8,Concrete,0.907922641898522,0.6950875211744777
8,9,Concrete,0.7670627053487522,1.0
9,10,Concrete,0.8105441606638341,0.6894409937888198
10,11,Concrete,0.9136421576190553,0.5426312817617166
11,12,Concrete,0.7536195040876325,0.6352343308865048
12,13,Concrete,0.9689457326050003,0.8125352907961604
13,14,Concrete,0.7032291303574475,0.7594579333709769
14,15,Concrete,0.8607382629895327,0.7481648785996612
15,16,Concrete,0.8697792646850714,0.5268210050818747
16,17,Concrete,0.8350629857840203,0.26595143986448333
17,18,Concrete,0.7313801055647677,0.6318464144551101
18,19,Concrete,0.8422723295387924,0.577639751552795
19,20,Concrete,0.8931900642516127,0.709768492377188
20,21,Concrete,0.7323869223229198,0.6668548842461886
21,22,Concrete,0.7867051280262842,0.435347261434218
22,23,Concrete,0.9175596470220766,0.515527950310559
23,24,Concrete,0.9171149904487595,0.7188029361942405
24,25,Concrete,0.8267692953820702,0.383399209486166
25,26,Concrete,0.8270393233742983,0.4105025409373235
26,27,Concrete,0.8972377361384395,0.4872953133822699
27,28,Concrete,0.9119393269214302,0.5911914172783738
28,29,Concrete,0.9440442082935175,0.8701298701298701
29,30,Concrete,0.9071247074113605,0.5053642010163749
30,31,Concrete,0.8656207027357928,0.8543195934500283
31,32,Concrete,0.692949577867039,0.3608130999435347
32,33,Concrete,0.9377448739478574,0.7131564088085828
33,34,Concrete,0.8868643968127775,0.44664031620553357
34,35,Concrete,0.9220246854440702,0.6216826651609261
35,36,Concrete,0.8927000195626691,0.5302089215132694
36,37,Concrete,0.949884567759955,0.5607001693958216
37,38,Concrete,0.9028554999684291,0.603613777526821
38,39,Concrete,0.8061525359441236,0.48955392433653305
39,40,Concrete,0.8677943192993862,0.6544325239977414
40,41,Concrete,0.9509336797660322,0.611518915866742
41,42,Concrete,0.8527367025018492,0.220214568040655
42,43,Concrete,0.772587207539802,0.47600225861095424
43,44,Concrete,0.9599359469918337,0.6589497459062676
44,45,Concrete,0.9113424059609805,0.5403726708074534
45,46,Concrete,0.8904420999998272,0.6623376623376623
46,47,Concrete,0.87066285193089,0.37323546019198195
47,48,Concrete,0.89115952540479,0.6679841897233202
48,49,Concrete,0.6932060046019884,0.5392433653303218
49,50,Concrete,0.7093020259510124,0.4342179559570864
50,51,Concrete,0.9265652729342418,0.6589497459062676
51,52,Concrete,0.6175333300454784,0.49632975719932243
52,53,Concrete,0.6975801099622908,0.735742518351214
53,54,Concrete,0.5549616541197055,0.55957086391869
54,55,Concrete,0.7824108472701282,0.7504234895539243
55,56,Concrete,0.9509605309630136,0.7741389045736872
56,57,Concrete,0.49694717433588265,0.37210615471485037
57,58,Concrete,0.7502661427210957,0.16600790513833993
58,59,Concrete,0.8297086885904793,0.34726143421795597
59,60,Concrete,0.9644420388918308,0.7108977978543196
60,61,Concrete,0.8450563978566336,0.5471485036702428
61,62,Concrete,0.7768849493936564,0.40146809712027104
62,63,Concrete,0.889434840074955,0.639751552795031
63,64,Concrete,0.9525110820704825,0.6521739130434783
64,65,Concrete,0.564810961574397,0.16600790513833993
65,66,Concrete,0.9112670817111145,0.5008469791078487
66,67,Concrete,0.8639491212528209,0.7447769621682665
67,68,Concrete,0.8461807593027623,0.5957086391869001
68,69,Concrete,0.9746369283224565,0.7899491812535291
69,70,Concrete,0.8715797307380357,0.6024844720496895
70,71,Concrete,0.9025582888733913,0.7605872388481084
71,72,Concrete,0.7971991949918105,0.5189158667419537
72,73,Concrete,0.9068231935108707,0.665725578769057
73,74,Concrete,0.8331342047925687,0.6668548842461886
74,75,Concrete,0.7971338336619832,0.6352343308865048
75,76,Concrete,0.9723239599507566,0.5482778091473743
76,77,Concrete,0.6191565677373034,0.4330886504799548
77,78,Concrete,0.6981209982031397,0.6149068322981367
78,79,Concrete,0.6374967024916246,0.551665725578769
79,80,Concrete,0.8622879519164506,0.5731225296442688
80,1,Abstract,0.7124206893060305,0.6329757199322417
81,2,Abstract,0.9165976671621303,0.6284584980237155
82,3,Abstract,0.9027393105785663,0.42631281761716544
83,4,Abstract,0.8906556343344512,0.7346132128740824
84,5,Abstract,0.9053234476774079,0.6679841897233202
85,6,Abstract,0.8490449503240631,0.4782608695652174
86,7,Abstract,0.9050603006871091,0.4839073969508752
87,8,Abstract,0.8910481131059151,0.6160361377752682
88,9,Abstract,0.7664843078883649,0.7018633540372671
89,10,Abstract,0.7242437165545491,0.7334839073969509
90,11,Abstract,0.893090390820732,0.365330321852061
91,12,Abstract,0.832181839598162,0.5324675324675324
92,13,Abstract,0.8466460250103828,0.6578204404291361
93,14,Abstract,0.751627645014696,0.5652173913043478
94,15,Abstract,0.896433333011963,0.6905702992659515
95,16,Abstract,0.7314401574821869,0.603613777526821
96,17,Abstract,0.941288013761555,0.7730095990965556
97,18,Abstract,0.8548277102084668,0.7515527950310559
98,19,Abstract,0.9117844783358742,0.6284584980237155
99,20,Abstract,0.8170548344499557,0.5539243365330322
100,21,Abstract,0.9295973336312291,0.6194240542066629
101,22,Abstract,0.5534506373271282,0.35177865612648224
102,23,Abstract,0.8508158040945328,0.48842461885940147
103,24,Abstract,0.7521719750404969,0.2077922077922078
104,25,Abstract,0.8682806912688718,0.41953698475437606
105,26,Abstract,0.8996313977502141,0.5471485036702428
106,27,Abstract,0.807500829358206,0.37888198757763975
107,28,Abstract,0.7776676802262936,0.4827780914737436
108,29,Abstract,0.8849814104904167,0.515527950310559
109,30,Abstract,0.7782315972820623,0.6408808582721626
110,31,Abstract,0.7551902241233011,0.5945793337097685
111,32,Abstract,0.8690990165818746,0.709768492377188
112,33,Abstract,0.8843584920936857,0.7086391869000565
113,34,Abstract,0.9273558619347094,0.3709768492377188
114,35,Abstract,0.8539212705008935,0.6352343308865048
115,36,Abstract,0.8790327245269067,0.6318464144551101
116,37,Abstract,0.8931899109881328,0.5561829474872954
117,38,Abstract,0.5398885248749273,0.5335968379446641
118,39,Abstract,0.7989496987859555,0.6476566911349521
