,Image,Condition,Human,CLIP
0,1,Concrete,0.8386666666666667,0.2783203125
1,2,Concrete,0.8584999999999998,0.33984375
2,3,Concrete,0.8993333333333332,0.3173828125
3,4,Concrete,0.8761666666666668,0.309814453125
4,5,Concrete,0.9231666666666666,0.29443359375
5,6,Concrete,0.823,0.3115234375
6,7,Concrete,0.8879999999999998,0.294921875
7,8,Concrete,0.9006666666666667,0.331298828125
8,9,Concrete,0.7874999999999999,0.397216796875
9,10,Concrete,0.7873333333333333,0.330078125
10,11,Concrete,0.934,0.29833984375
11,12,Concrete,0.8119999999999996,0.318359375
12,13,Concrete,0.9681666666666666,0.356689453125
13,14,Concrete,0.728,0.34521484375
14,15,Concrete,0.8675000000000002,0.3427734375
15,16,Concrete,0.8528333333333332,0.294921875
16,17,Concrete,0.8636666666666666,0.238525390625
17,18,Concrete,0.75,0.317626953125
18,19,Concrete,0.8704999999999998,0.305908203125
19,20,Concrete,0.8893333333333335,0.33447265625
20,21,Concrete,0.7806666666666664,0.3251953125
21,22,Concrete,0.7901666666666666,0.275146484375
22,23,Concrete,0.9354999999999998,0.29248046875
23,24,Concrete,0.9001666666666667,0.33642578125
24,25,Concrete,0.8388333333333333,0.263916015625
25,26,Concrete,0.8766666666666667,0.269775390625
26,27,Concrete,0.8898333333333335,0.286376953125
27,28,Concrete,0.9144999999999999,0.308837890625
28,29,Concrete,0.9464999999999999,0.369140625
29,30,Concrete,0.8935,0.290283203125
30,31,Concrete,0.8979999999999999,0.36572265625
31,32,Concrete,0.7746666666666666,0.259033203125
32,33,Concrete,0.9556666666666666,0.335205078125
33,34,Concrete,0.8743333333333336,0.277587890625
34,35,Concrete,0.9315,0.3154296875
35,36,Concrete,0.9064999999999999,0.295654296875
36,37,Concrete,0.9456666666666668,0.30224609375
37,38,Concrete,0.923,0.3115234375
38,39,Concrete,0.802333333333333,0.286865234375
39,40,Concrete,0.8783333333333333,0.322509765625
40,41,Concrete,0.9599999999999999,0.313232421875
41,42,Concrete,0.8749999999999999,0.2286376953125
42,43,Concrete,0.7986666666666667,0.283935546875
43,44,Concrete,0.9551666666666667,0.323486328125
44,45,Concrete,0.9275000000000002,0.2978515625
45,46,Concrete,0.9418333333333335,0.32421875
46,47,Concrete,0.8525000000000003,0.26171875
47,48,Concrete,0.9049999999999999,0.325439453125
48,49,Concrete,0.7628333333333331,0.297607421875
49,50,Concrete,0.776,0.27490234375
50,51,Concrete,0.9324999999999996,0.323486328125
51,52,Concrete,0.6830000000000003,0.288330078125
52,53,Concrete,0.7495,0.340087890625
53,54,Concrete,0.5940000000000002,0.302001953125
54,55,Concrete,0.8211666666666666,0.34326171875
55,56,Concrete,0.9471666666666667,0.348388671875
56,57,Concrete,0.5603333333333332,0.261474609375
57,58,Concrete,0.7189999999999999,0.2169189453125
58,59,Concrete,0.8666666666666666,0.256103515625
59,60,Concrete,0.9666666666666667,0.334716796875
60,61,Concrete,0.8526666666666665,0.29931640625
61,62,Concrete,0.8121666666666668,0.267822265625
62,63,Concrete,0.8951666666666667,0.3193359375
63,64,Concrete,0.9663333333333333,0.322021484375
64,65,Concrete,0.6113333333333334,0.2169189453125
65,66,Concrete,0.9015,0.289306640625
66,67,Concrete,0.9049999999999997,0.342041015625
67,68,Concrete,0.8601666666666667,0.309814453125
68,69,Concrete,0.9713333333333334,0.351806640625
69,70,Concrete,0.8713333333333334,0.311279296875
70,71,Concrete,0.9115000000000002,0.345458984375
71,72,Concrete,0.820666666666667,0.293212890625
72,73,Concrete,0.9100000000000001,0.324951171875
73,74,Concrete,0.8228333333333334,0.3251953125
74,75,Concrete,0.879,0.318359375
75,76,Concrete,0.9625000000000001,0.299560546875
76,77,Concrete,0.6808333333333333,0.274658203125
77,78,Concrete,0.7149999999999999,0.31396484375
78,79,Concrete,0.6313333333333334,0.30029296875
79,80,Concrete,0.855,0.304931640625
80,1,Abstract,0.7090000000000002,0.31787109375
81,2,Abstract,0.9058333333333332,0.31689453125
82,3,Abstract,0.8976666666666667,0.273193359375
83,4,Abstract,0.9029999999999999,0.33984375
84,5,Abstract,0.9065,0.325439453125
85,6,Abstract,0.844166666666667,0.284423828125
86,7,Abstract,0.9051666666666666,0.28564453125
87,8,Abstract,0.9051666666666667,0.314208984375
88,9,Abstract,0.8016666666666666,0.332763671875
89,10,Abstract,0.7764999999999997,0.339599609375
90,11,Abstract,0.911,0.260009765625
91,12,Abstract,0.8428333333333333,0.296142578125
92,13,Abstract,0.872,0.3232421875
93,14,Abstract,0.7648333333333331,0.30322265625
94,15,Abstract,0.8925000000000001,0.330322265625
95,16,Abstract,0.7741666666666667,0.3115234375
96,17,Abstract,0.9408333333333335,0.34814453125
97,18,Abstract,0.8786666666666668,0.343505859375
98,19,Abstract,0.9348333333333333,0.31689453125
99,20,Abstract,0.8373333333333332,0.30078125
100,21,Abstract,0.9514999999999998,0.31494140625
101,22,Abstract,0.6223333333333334,0.257080078125
102,23,Abstract,0.8701666666666664,0.28662109375
103,24,Abstract,0.7665,0.2259521484375
104,25,Abstract,0.8463333333333333,0.271728515625
105,26,Abstract,0.9061666666666667,0.29931640625
106,27,Abstract,0.7920000000000001,0.262939453125
107,28,Abstract,0.8451666666666668,0.285400390625
108,29,Abstract,0.8634999999999999,0.29248046875
109,30,Abstract,0.7881666666666667,0.319580078125
110,31,Abstract,0.8276666666666667,0.3095703125
111,32,Abstract,0.8821666666666668,0.33447265625
112,33,Abstract,0.8749999999999999,0.334228515625
113,34,Abstract,0.9568333333333333,0.26123046875
114,35,Abstract,0.8553333333333332,0.318359375
115,36,Abstract,0.9051666666666668,0.317626953125
116,37,Abstract,0.8948333333333333,0.30126953125
117,38,Abstract,0.5981666666666664,0.29638671875
118,39,Abstract,0.8451666666666665,0.321044921875
119,40,Abstract,0.8420000000000003,0.278076171875
120,41,Abstract,0.9304999999999999,0.3212890625
121,42,Abstract,0.9131666666666667,0.303466796875
122,43,Abstract,0.9718333333333332,0.32958984375
123,44,Abstract,0.8736666666666666,0.29931640625
124,45,Abstract,0.8733333333333336,0.337890625
