,Subject,Condition,Human,CLIP
0,24,Concrete,0.1043156217826017,0.07294764921868317
1,21,Concrete,0.0012424605578826077,0.07294764921868317
2,60,Concrete,-0.04974458236714285,0.07294764921868317
3,48,Concrete,0.13356552470988198,0.07294764921868317
4,23,Concrete,0.2605529749297527,0.07294764921868317
5,77,Concrete,0.10751405004770098,0.07294764921868317
6,6,Concrete,-0.061637874492663766,0.07294764921868317
7,76,Concrete,0.107962817639551,0.07294764921868317
8,38,Concrete,0.1342105674630564,0.07294764921868317
9,70,Concrete,0.09323756627275384,0.07294764921868317
10,16,Concrete,-0.0699964547766827,0.07294764921868317
11,22,Concrete,-0.00756871502077569,0.07294764921868317
12,69,Concrete,0.04169290067653523,0.07294764921868317
13,12,Concrete,0.01896549587399073,0.07294764921868317
14,45,Concrete,0.06742483801539687,0.07294764921868317
15,59,Concrete,-0.09291521975254885,0.07294764921868317
16,61,Concrete,0.12008524624426584,0.07294764921868317
17,50,Concrete,0.05440858932018607,0.07294764921868317
18,34,Concrete,-0.0921318688077027,0.07294764921868317
19,54,Concrete,-0.0009019729516723168,0.07294764921868317
20,28,Concrete,-0.1001527351493968,0.07294764921868317
21,58,Concrete,-0.017216998949347723,0.07294764921868317
22,43,Concrete,-0.0637140764148888,0.07294764921868317
23,55,Concrete,0.06653005907814451,0.07294764921868317
24,52,Concrete,0.010807434995445786,0.07294764921868317
25,75,Concrete,0.22477691909942932,0.07294764921868317
26,56,Concrete,0.1169086377015532,0.07294764921868317
27,3,Concrete,0.09124172341826232,0.07294764921868317
28,10,Concrete,-0.016172991161373586,0.07294764921868317
29,9,Concrete,0.07285520723100017,0.07294764921868317
30,67,Concrete,0.07406613951467651,0.07294764921868317
31,19,Concrete,-0.06221436394159141,0.07294764921868317
32,2,Concrete,0.13121646831389497,0.07294764921868317
33,37,Concrete,-0.16047481411593495,0.07294764921868317
34,62,Concrete,0.08694147602590557,0.07294764921868317
35,27,Concrete,0.07169923087099024,0.07294764921868317
36,20,Concrete,0.013687003119198926,0.07294764921868317
37,71,Concrete,0.04595277071858515,0.07294764921868317
38,40,Concrete,2.3578361485476763e-15,0.07294764921868317
39,73,Concrete,-0.11532408085846839,0.07294764921868317
40,49,Concrete,0.12512017330959757,0.07294764921868317
41,17,Concrete,0.007767545316411722,0.07294764921868317
42,14,Concrete,0.0695224277492419,0.07294764921868317
43,32,Concrete,0.0016182181486794679,0.07294764921868317
44,1,Concrete,0.0886850712430595,0.07294764921868317
45,30,Concrete,0.16459359359662995,0.07294764921868317
46,13,Concrete,0.10527572795633151,0.07294764921868317
47,66,Concrete,0.0344612204492938,0.07294764921868317
48,64,Concrete,0.03264597469021185,0.07294764921868317
49,65,Concrete,-0.06745182059535755,0.07294764921868317
50,68,Concrete,0.038040751288630895,0.07294764921868317
51,35,Concrete,0.03530698456426298,0.07294764921868317
52,5,Concrete,-0.02898313135180063,0.07294764921868317
53,33,Concrete,0.18825261218526051,0.07294764921868317
54,47,Concrete,-0.015516768937435496,0.07294764921868317
55,41,Concrete,0.030805814654342224,0.07294764921868317
56,42,Concrete,-0.054459110927228896,0.07294764921868317
57,44,Concrete,-0.12550333410666425,0.07294764921868317
58,29,Concrete,0.022988941738759736,0.07294764921868317
59,8,Concrete,0.029366633767703976,0.07294764921868317
60,24,Abstract,-0.10431562178260337,-0.07294764921868382
61,21,Abstract,-0.001242460557880802,-0.07294764921868382
62,60,Abstract,0.04974458236714073,-0.07294764921868382
63,48,Abstract,-0.13356552470988017,-0.07294764921868382
64,23,Abstract,-0.2605529749297536,-0.07294764921868382
65,77,Abstract,-0.1075140500476992,-0.07294764921868382
66,6,Abstract,0.061637874492664446,-0.07294764921868382
67,76,Abstract,-0.10796281763955189,-0.07294764921868382
68,38,Abstract,-0.13421056746305404,-0.07294764921868382
69,70,Abstract,-0.0932375662727542,-0.07294764921868382
70,16,Abstract,0.06999645477668325,-0.07294764921868382
71,22,Abstract,0.007568715020775893,-0.07294764921868382
72,69,Abstract,-0.041692900676537865,-0.07294764921868382
73,12,Abstract,-0.018965495873989942,-0.07294764921868382
74,45,Abstract,-0.06742483801539588,-0.07294764921868382
75,59,Abstract,0.09291521975255285,-0.07294764921868382
76,61,Abstract,-0.12008524624426971,-0.07294764921868382
77,50,Abstract,-0.0544085893201874,-0.07294764921868382
78,34,Abstract,0.09213186880770549,-0.07294764921868382
79,54,Abstract,0.0009019729516718519,-0.07294764921868382
80,28,Abstract,0.10015273514938956,-0.07294764921868382
81,58,Abstract,0.01721699894934172,-0.07294764921868382
82,43,Abstract,0.06371407641488976,-0.07294764921868382
83,55,Abstract,-0.06653005907814291,-0.07294764921868382
84,52,Abstract,-0.010807434995448272,-0.07294764921868382
85,75,Abstract,-0.22477691909942443,-0.07294764921868382
86,56,Abstract,-0.11690863770155183,-0.07294764921868382
87,3,Abstract,-0.09124172341826234,-0.07294764921868382
88,10,Abstract,0.01617299116138291,-0.07294764921868382
89,9,Abstract,-0.07285520723099677,-0.07294764921868382
90,67,Abstract,-0.07406613951467132,-0.07294764921868382
91,19,Abstract,0.062214363941594575,-0.07294764921868382
92,2,Abstract,-0.13121646831389217,-0.07294764921868382
93,37,Abstract,0.16047481411594106,-0.07294764921868382
94,62,Abstract,-0.08694147602590939,-0.07294764921868382
95,27,Abstract,-0.07169923087098833,-0.07294764921868382
96,20,Abstract,-0.013687003119193682,-0.07294764921868382
97,71,Abstract,-0.04595277071858248,-0.07294764921868382
98,40,Abstract,2.3522850334245504e-15,-0.07294764921868382
99,73,Abstract,0.11532408085846813,-0.07294764921868382
100,49,Abstract,-0.12512017330959568,-0.07294764921868382
101,17,Abstract,-0.007767545316414004,-0.07294764921868382
102,14,Abstract,-0.06952242774923857,-0.07294764921868382
103,32,Abstract,-0.001618218148678832,-0.07294764921868382
104,1,Abstract,-0.08868507124306405,-0.07294764921868382
105,30,Abstract,-0.1645935935966279,-0.07294764921868382
106,13,Abstract,-0.1052757279563286,-0.07294764921868382
107,66,Abstract,-0.034461220449292604,-0.07294764921868382
108,64,Abstract,-0.03264597469021352,-0.07294764921868382
109,65,Abstract,0.0674518205953617,-0.07294764921868382
110,68,Abstract,-0.03804075128863012,-0.07294764921868382
111,35,Abstract,-0.03530698456426111,-0.07294764921868382
112,5,Abstract,0.028983131351805597,-0.07294764921868382
113,33,Abstract,-0.18825261218526104,-0.07294764921868382
114,47,Abstract,0.01551676893744175,-0.07294764921868382
115,41,Abstract,-0.03080581465433928,-0.07294764921868382
116,42,Abstract,0.05445911092723212,-0.07294764921868382
117,44,Abstract,0.12550333410666686,-0.07294764921868382
118,29,Abstract,-0.02298894173875935,-0.07294764921868382
119,8,Abstract,-0.029366633767706412,-0.07294764921868382
